asset,type,shares,buy_price,sell_price,buy_time,sell_time,cost,revenue
ABNB,buy,4,137.1156621,137.2759108,20,150,548.4626484,0.6409947999999304
UBER,sell,4,80.86122138,81.09288963,150,1,324.37155852,0.9266729999999939
